# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
CTSF,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); go:immune system process (idf=5.00); go:antigen processing and presentation of exogenous peptide antigen via MHC class II (idf=4.90); reactome:Processing of antigen in germinal center B cells (idf=4.26) (+3 more) | captured 16 GO / 2 Reactome / 1 OT
CTSH,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:immune response-regulating signaling pathway (idf=6.61); go:adaptive immune response (idf=5.36); go:antigen processing and presentation (idf=5.11) (+5 more) | captured 53 GO / 4 Reactome / 3 OT
CXCL12,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:chemokine (C-X-C motif) ligand 12 signaling pathway (idf=6.20); go:cellular response to chemokine (idf=6.20); go:chemokine receptor binding (idf=6.20) (+7 more) | captured 58 GO / 5 Reactome / 5 OT
CXCL13,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:regulation of humoral immune response (idf=6.61); go:CXCR5 chemokine receptor binding (idf=6.61); go:CCR10 chemokine receptor binding (idf=6.61) (+10 more) | captured 34 GO / 2 Reactome / 2 OT
CXCL5,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:CXCR chemokine receptor binding (idf=5.92); go:chemokine activity (idf=5.69); reactome:Chemokine receptors bind chemokines (idf=4.90) (+4 more) | captured 15 GO / 2 Reactome / 2 OT
CXCR4,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:C-X-C chemokine receptor activity (idf=6.61); go:C-X-C motif chemokine 12 receptor activity (idf=6.61); go:chemokine receptor activity (idf=5.36) (+8 more) | captured 53 GO / 7 Reactome / 7 OT
DHX15,microglia_immune,primary=microglia_immune IDF-derived (score=5.36); go:antiviral innate immune response (idf=5.36) | captured 25 GO / 4 Reactome / 4 OT
DYSF,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:monocyte activation involved in immune response (idf=6.61); go:macrophage activation involved in immune response (idf=5.36); go:negative regulation of phagocytosis (idf=5.36) | captured 22 GO / 1 Reactome / 1 OT
ELMO1,microglia_immune,"primary=microglia_immune IDF-derived (score=5.36); go:phagocytosis, engulfment (idf=5.36); reactome:Regulation of actin dynamics for phagocytic cup formation (idf=5.00); open_targets:Regulation of actin dynamics for phagocytic cup formation (idf=5.00) (+3 more) | captured 18 GO / 6 Reactome / 6 OT"
ELMO2,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); reactome:Regulation of actin dynamics for phagocytic cup formation (idf=5.00); open_targets:Regulation of actin dynamics for phagocytic cup formation (idf=5.00); reactome:FCGR3A-mediated phagocytosis (idf=4.90) (+2 more) | captured 10 GO / 5 Reactome / 5 OT
FADS2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:arachidonate metabolite production involved in inflammatory response (idf=6.61) | captured 16 GO / 2 Reactome / 2 OT
FBXL22,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 7 GO / 2 Reactome / 2 OT
FBXL7,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 12 GO / 3 Reactome / 3 OT
FBXO40,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 6 GO / 2 Reactome / 2 OT
FCER2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:B cell antigen processing and presentation (idf=6.61); go:Fc receptor-mediated immune complex endocytosis (idf=6.61); go:Fc-gamma receptor signaling pathway involved in phagocytosis (idf=4.90) (+6 more) | captured 19 GO / 3 Reactome / 3 OT
FCGR1A,microglia_immune,"primary=microglia_immune IDF-derived (score=5.69); reactome:Cross-presentation of soluble exogenous antigens (endosomes) (idf=5.69); open_targets:Cross-presentation of soluble exogenous antigens (endosomes) (idf=5.69); go:phagocytosis, engulfment (idf=5.36) (+9 more) | captured 16 GO / 8 Reactome / 7 OT"
FCGR2A,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); reactome:Regulation of actin dynamics for phagocytic cup formation (idf=5.00); reactome:Role of phospholipids in phagocytosis (idf=5.00); open_targets:Regulation of actin dynamics for phagocytic cup formation (idf=5.00) (+3 more) | captured 11 GO / 5 Reactome / 5 OT
FCGR2B,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:mature B cell differentiation involved in immune response (idf=6.61); go:immune complex clearance by monocytes and macrophages (idf=6.61); go:regulation of B cell antigen processing and presentation (idf=6.61) (+23 more) | captured 55 GO / 2 Reactome / 1 OT
FOXP3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of interleukin-4 production (idf=6.61); go:negative regulation of T cell cytokine production (idf=6.20); go:negative regulation of interleukin-10 production (idf=5.92) (+4 more) | captured 55 GO / 2 Reactome / 2 OT
GAB2,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); reactome:Interleukin-15 signaling (idf=5.92); open_targets:Interleukin-15 signaling (idf=5.92); reactome:Interleukin receptor SHC signaling (idf=5.36) (+4 more) | captured 14 GO / 17 Reactome / 17 OT
GALNT2,microglia_immune,primary=microglia_immune IDF-derived (score=5.22); go:positive regulation of immunoglobulin production (idf=5.22) | captured 15 GO / 2 Reactome / 2 OT
GBF1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:cell activation involved in immune response (idf=6.61) | captured 39 GO / 6 Reactome / 6 OT
GDF1,microglia_immune,primary=microglia_immune IDF-derived (score=3.81); go:cytokine activity (idf=3.81) | captured 5 GO / 1 Reactome / 1 OT
GPNMB,microglia_immune,primary=microglia_immune IDF-derived (score=4.90); go:negative regulation of cytokine production (idf=4.90) | captured 25 GO / 1 Reactome / 1 OT
GSDMD,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:positive regulation of interleukin-1 production (idf=6.20); go:positive regulation of interleukin-18 production (idf=5.69); go:pyroptotic inflammatory response (idf=5.51) (+5 more) | captured 32 GO / 8 Reactome / 8 OT
GSN,microglia_immune,"primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of protein processing in phagocytic vesicle (idf=6.61); go:phagocytosis, engulfment (idf=5.36); go:phagocytic vesicle (idf=4.53) (+1 more) | captured 53 GO / 4 Reactome / 4 OT"
HAX1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:interleukin-1 binding (idf=6.61); go:cellular response to cytokine stimulus (idf=4.82) | captured 35 GO / 0 Reactome / 0 OT
HCK,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:leukocyte migration involved in immune response (idf=6.20); go:innate immune response-activating signaling pathway (idf=6.20); go:respiratory burst after phagocytosis (idf=6.20) (+10 more) | captured 51 GO / 9 Reactome / 9 OT
HFE,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:regulation of T cell mediated immunity (idf=6.61); go:negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I (idf=6.61); go:antigen processing and presentation of peptide antigen via MHC class I (idf=6.20) (+3 more) | captured 42 GO / 1 Reactome / 1 OT
HIF1A,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:connective tissue replacement involved in inflammatory response wound healing (idf=6.20); go:positive regulation of chemokine-mediated signaling pathway (idf=6.20); go:cellular response to interleukin-1 (idf=5.51) (+5 more) | captured 82 GO / 11 Reactome / 11 OT
HLA-DRA,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (idf=6.61); go:myeloid dendritic cell antigen processing and presentation (idf=6.20); go:antigen processing and presentation of endogenous peptide antigen via MHC class II (idf=6.20) (+14 more) | captured 39 GO / 10 Reactome / 7 OT
HLA-DRB1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of T cell mediated immune response to tumor cell (idf=6.61); go:regulation of interleukin-10 production (idf=6.61); go:regulation of interleukin-4 production (idf=6.61) (+20 more) | captured 58 GO / 9 Reactome / 7 OT
HLA-DRB5,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:peptide antigen assembly with MHC class II protein complex (idf=5.69); reactome:Translocation of ZAP-70 to Immunological synapse (idf=5.69); open_targets:Translocation of ZAP-70 to Immunological synapse (idf=5.69) (+10 more) | captured 25 GO / 9 Reactome / 7 OT
HMHA1,microglia_immune,primary=microglia_immune IDF-derived (score=1.65); open_targets:Immune System (idf=1.65) | captured 13 GO / 4 Reactome / 4 OT
HMOX1,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:wound healing involved in inflammatory response (idf=6.20); go:negative regulation of cytokine production involved in inflammatory response (idf=4.82); go:positive regulation of chemokine production (idf=4.66) (+3 more) | captured 45 GO / 10 Reactome / 10 OT
HNRNPA2B1,microglia_immune,primary=microglia_immune IDF-derived (score=4.90); reactome:Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation (idf=4.90); open_targets:Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation (idf=4.90); open_targets:Immune System (idf=1.65) | captured 33 GO / 5 Reactome / 5 OT
HSPA5,microglia_immune,"primary=microglia_immune IDF-derived (score=5.22); reactome:Antigen Presentation: Folding, assembly and peptide loading of class I MHC (idf=5.22); open_targets:Antigen Presentation: Folding, assembly and peptide loading of class I MHC (idf=5.22); open_targets:Immune System (idf=1.65) | captured 59 GO / 11 Reactome / 11 OT"
HTR2A,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:positive regulation of cytokine production involved in immune response (idf=6.20); go:positive regulation of inflammatory response (idf=3.90) | captured 60 GO / 2 Reactome / 2 OT
IFNG,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:positive regulation of interleukin-23 production (idf=5.69); go:negative regulation of interleukin-17 production (idf=5.51); go:adaptive immune response (idf=5.36) (+17 more) | captured 64 GO / 7 Reactome / 6 OT
IFNK,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:B cell activation involved in immune response (idf=6.61); go:natural killer cell activation involved in immune response (idf=6.61); go:T cell activation involved in immune response (idf=6.20) (+6 more) | captured 19 GO / 0 Reactome / 0 OT
IL10,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of interleukin-18 production (idf=6.61); go:negative regulation of cytokine activity (idf=6.61); go:negative regulation of chemokine (C-C motif) ligand 5 production (idf=6.61) (+25 more) | captured 76 GO / 7 Reactome / 6 OT
IL15,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:interleukin-15-mediated signaling pathway (idf=5.92); reactome:Interleukin-15 signaling (idf=5.92); open_targets:Interleukin-15 signaling (idf=5.92) (+9 more) | captured 30 GO / 1 Reactome / 1 OT
IL17A,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of interleukin-16 production (idf=6.61); go:interleukin-17A-mediated signaling pathway (idf=6.61); go:positive regulation of tumor necrosis factor superfamily cytokine production (idf=6.61) (+19 more) | captured 41 GO / 3 Reactome / 3 OT
IL18,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of T-helper 1 type immune response (idf=6.61); go:interleukin-18 receptor binding (idf=6.61); go:positive regulation of T-helper 1 cell cytokine production (idf=6.20) (+21 more) | captured 44 GO / 8 Reactome / 8 OT
IL1B,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of T cell mediated immunity (idf=6.61); go:positive regulation of complement activation (idf=6.61); go:cellular response to interleukin-17 (idf=6.20) (+27 more) | captured 99 GO / 10 Reactome / 9 OT
IL2,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:leukocyte activation involved in immune response (idf=6.20); go:interleukin-2-mediated signaling pathway (idf=6.20); go:interleukin-2 receptor binding (idf=6.20) (+10 more) | captured 42 GO / 4 Reactome / 4 OT
IL21,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:immunoglobulin mediated immune response (idf=6.20); go:interleukin-2 receptor binding (idf=6.20); reactome:Interleukin-21 signaling (idf=5.92) (+9 more) | captured 30 GO / 2 Reactome / 1 OT
IL22,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:interleukin-22 receptor binding (idf=6.61); reactome:Interleukin-20 family signaling (idf=5.51); open_targets:Interleukin-20 family signaling (idf=5.51) (+4 more) | captured 9 GO / 2 Reactome / 2 OT
IL34,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:interleukin-34-mediated signaling pathway (idf=5.92); go:microglial cell proliferation (idf=5.69); reactome:Other interleukin signaling (idf=5.51) (+4 more) | captured 20 GO / 2 Reactome / 2 OT
IL4,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:interleukin-4 receptor binding (idf=6.61); go:interleukin-4-mediated signaling pathway (idf=6.20); reactome:Interleukin-18 signaling (idf=6.20) (+18 more) | captured 54 GO / 4 Reactome / 4 OT
IL4R,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:production of molecular mediator involved in inflammatory response (idf=6.61); go:interleukin-13-mediated signaling pathway (idf=6.61); go:interleukin-4 receptor activity (idf=6.61) (+8 more) | captured 20 GO / 2 Reactome / 2 OT
IL6,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of chemokine production (idf=6.61); go:positive regulation of interleukin-21 production (idf=6.61); go:regulation of microglial cell activation (idf=6.61) (+36 more) | captured 106 GO / 13 Reactome / 12 OT
IL6R,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:interleukin-6 receptor activity (idf=6.61); go:interleukin-11 receptor activity (idf=6.61); go:interleukin-11 binding (idf=6.61) (+19 more) | captured 53 GO / 7 Reactome / 7 OT
INPP5D,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:regulation of immune response (idf=5.69); reactome:Interleukin receptor SHC signaling (idf=5.36); open_targets:Interleukin receptor SHC signaling (idf=5.36) (+3 more) | captured 24 GO / 6 Reactome / 6 OT
IRF2,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:toll-like receptor 3 signaling pathway (idf=5.92); go:immune system process (idf=5.00); open_targets:Immune System (idf=1.65) | captured 26 GO / 4 Reactome / 4 OT
IRF6,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); go:immune system process (idf=5.00); open_targets:Immune System (idf=1.65) | captured 22 GO / 2 Reactome / 2 OT
ITGAM,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:complement-mediated synapse pruning (idf=6.20); go:positive regulation of microglial cell mediated cytotoxicity (idf=6.20); go:complement component C3b binding (idf=6.20) (+6 more) | captured 47 GO / 6 Reactome / 5 OT
JAGN1,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:neutrophil mediated immunity (idf=5.69) | captured 12 GO / 0 Reactome / 0 OT
JAK2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:response to interleukin-12 (idf=6.61); go:interleukin-35-mediated signaling pathway (idf=6.61); go:interleukin-12 receptor binding (idf=6.61) (+33 more) | captured 132 GO / 39 Reactome / 39 OT
KBTBD8,microglia_immune,primary=microglia_immune IDF-derived (score=4.17); reactome:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Antigen processing: Ubiquitination & Proteasome degradation (idf=4.17); open_targets:Immune System (idf=1.65) | captured 11 GO / 2 Reactome / 2 OT
KIF14,microglia_immune,primary=microglia_immune IDF-derived (score=5.22); go:positive regulation of cytokinesis (idf=5.22) | captured 49 GO / 3 Reactome / 3 OT
KIR3DL2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:immune receptor activity (idf=6.61); go:immune response-inhibiting cell surface receptor signaling pathway (idf=5.69); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21) (+2 more) | captured 7 GO / 1 Reactome / 1 OT
KLC3,microglia_immune,primary=microglia_immune IDF-derived (score=4.26); reactome:Processing of antigen in germinal center B cells (idf=4.26); reactome:MHC class II antigen presentation (idf=3.97); open_targets:MHC class II antigen presentation (idf=3.97) (+1 more) | captured 10 GO / 5 Reactome / 4 OT
KRT6A,microglia_immune,primary=microglia_immune IDF-derived (score=4.53); go:antimicrobial humoral immune response mediated by antimicrobial peptide (idf=4.53) | captured 19 GO / 2 Reactome / 2 OT
LBP,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of respiratory burst involved in inflammatory response (idf=6.61); go:positive regulation of toll-like receptor 4 signaling pathway (idf=5.69); go:macrophage activation involved in immune response (idf=5.36) (+6 more) | captured 32 GO / 4 Reactome / 4 OT
LGALS3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of immunological synapse formation (idf=6.61); go:negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (idf=6.61); reactome:RUNX1 regulates transcription of genes involved in differentiation of myeloid cells (idf=6.61) (+6 more) | captured 49 GO / 4 Reactome / 4 OT
LILRA3,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:immune response-inhibiting cell surface receptor signaling pathway (idf=5.69); go:interleukin-10-mediated signaling pathway (idf=5.69); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21) | captured 9 GO / 2 Reactome / 0 OT
LILRA5,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of interleukin-13 production (idf=6.61); go:negative regulation of interleukin-12 production (idf=6.20); go:immune response-inhibiting cell surface receptor signaling pathway (idf=5.69) (+8 more) | captured 17 GO / 1 Reactome / 1 OT
LILRB2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of antigen processing and presentation (idf=6.61); go:immune response-inhibiting cell surface receptor signaling pathway (idf=5.69); go:interleukin-10-mediated signaling pathway (idf=5.69) (+5 more) | captured 42 GO / 2 Reactome / 2 OT
LTF,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:phagocytic vesicle lumen (idf=6.20); go:innate immune response in mucosa (idf=5.92); go:positive regulation of toll-like receptor 4 signaling pathway (idf=5.69) (+5 more) | captured 48 GO / 5 Reactome / 5 OT
LYN,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:tolerance induction to self antigen (idf=6.61); go:immune response-regulating cell surface receptor signaling pathway (idf=6.61); go:C-X-C chemokine receptor CXCR4 signaling pathway (idf=6.61) (+19 more) | captured 122 GO / 37 Reactome / 37 OT
MAPK1,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:interleukin-34-mediated signaling pathway (idf=5.92); go:positive regulation of neuroinflammatory response (idf=5.11); reactome:Regulation of actin dynamics for phagocytic cup formation (idf=5.00) (+5 more) | captured 70 GO / 63 Reactome / 63 OT
MAPK3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of T cell mediated immune response to tumor cell (idf=6.61); go:interleukin-34-mediated signaling pathway (idf=5.92); go:interleukin-1-mediated signaling pathway (idf=5.36) (+6 more) | captured 65 GO / 60 Reactome / 60 OT
MAPK7,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of response to cytokine stimulus (idf=6.61); go:negative regulation of inflammatory response (idf=3.97) | captured 32 GO / 6 Reactome / 6 OT
MAPK9,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:inflammatory response to wounding (idf=5.69); go:positive regulation of cytokine production involved in inflammatory response (idf=4.90); open_targets:Immune System (idf=1.65) | captured 29 GO / 5 Reactome / 5 OT
MAS1,microglia_immune,primary=microglia_immune IDF-derived (score=5.22); go:C-C chemokine receptor activity (idf=5.22); go:chemokine-mediated signaling pathway (idf=4.90) | captured 12 GO / 1 Reactome / 1 OT
MASP2,microglia_immune,"primary=microglia_immune IDF-derived (score=6.61); go:complement activation, lectin pathway (idf=6.61); reactome:Lectin pathway of complement activation (idf=6.61); open_targets:Lectin pathway of complement activation (idf=6.61) (+7 more) | captured 20 GO / 4 Reactome / 4 OT"
MATR3,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:activation of innate immune response (idf=5.92) | captured 15 GO / 0 Reactome / 0 OT
MDK,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:leukocyte chemotaxis involved in inflammatory response (idf=6.61); go:T cell activation involved in immune response (idf=6.20); go:positive regulation of inflammatory response to wounding (idf=6.20) (+3 more) | captured 69 GO / 3 Reactome / 3 OT
MEGF10,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:complement component C1q complex binding (idf=5.92); go:phagocytic cup (idf=5.22) | captured 21 GO / 0 Reactome / 0 OT
MIF,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:negative regulation of myeloid cell apoptotic process (idf=6.61); go:positive regulation of myeloid leukocyte cytokine production involved in immune response (idf=6.61); go:positive regulation of innate immune response (idf=5.69) (+7 more) | captured 47 GO / 3 Reactome / 3 OT
MMP25,microglia_immune,primary=microglia_immune IDF-derived (score=3.31); go:inflammatory response (idf=3.31); open_targets:Immune System (idf=1.65) | captured 13 GO / 2 Reactome / 2 OT
MMP3,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:regulation of neuroinflammatory response (idf=5.69); reactome:Interleukin-4 and Interleukin-13 signaling (idf=3.66); open_targets:Interleukin-4 and Interleukin-13 signaling (idf=3.66) (+1 more) | captured 27 GO / 7 Reactome / 7 OT
MMP9,microglia_immune,primary=microglia_immune IDF-derived (score=5.69); go:regulation of neuroinflammatory response (idf=5.69); reactome:Interleukin-4 and Interleukin-13 signaling (idf=3.66); open_targets:Interleukin-4 and Interleukin-13 signaling (idf=3.66) (+1 more) | captured 37 GO / 10 Reactome / 10 OT
MPO,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:Events associated with phagocytolytic activity of PMN cells (idf=6.61); open_targets:Events associated with phagocytolytic activity of PMN cells (idf=6.61); go:phagocytic vesicle lumen (idf=6.20) (+2 more) | captured 34 GO / 2 Reactome / 2 OT
MS4A2,microglia_immune,primary=microglia_immune IDF-derived (score=3.26); go:immune response (idf=3.26); open_targets:Immune System (idf=1.65) | captured 8 GO / 5 Reactome / 5 OT
MS4A3,microglia_immune,primary=microglia_immune IDF-derived (score=1.65); open_targets:Immune System (idf=1.65) | captured 7 GO / 1 Reactome / 1 OT
MYD88,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:toll-like receptor 5 signaling pathway (idf=6.61); go:toll-like receptor 8 signaling pathway (idf=6.61); go:toll-like receptor 9 signaling pathway (idf=6.61) (+25 more) | captured 72 GO / 16 Reactome / 16 OT
NCR2,microglia_immune,primary=microglia_immune IDF-derived (score=4.21); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immune System (idf=1.65) | captured 7 GO / 2 Reactome / 2 OT
NDUFC2,microglia_immune,primary=microglia_immune IDF-derived (score=1.65); open_targets:Immune System (idf=1.65) | captured 17 GO / 3 Reactome / 3 OT
NECTIN2,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:positive regulation of immunoglobulin mediated immune response (idf=6.20); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21) (+1 more) | captured 31 GO / 3 Reactome / 3 OT
NFE2L2,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); reactome:NFE2L2 regulating inflammation associated genes (idf=6.61); open_targets:NFE2L2 regulating inflammation associated genes (idf=6.61); go:regulation of innate immune response (idf=5.51) (+1 more) | captured 66 GO / 17 Reactome / 17 OT
NFKB1,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:cellular response to interleukin-17 (idf=6.20); go:cellular response to interleukin-6 (idf=5.92); reactome:DEx/H-box helicases activate type I IFN and inflammatory cytokines production  (idf=5.92) (+14 more) | captured 66 GO / 30 Reactome / 29 OT
NFKBIA,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); reactome:SUMOylation of immune response proteins (idf=6.20); open_targets:SUMOylation of immune response proteins (idf=6.20); go:interleukin-1-mediated signaling pathway (idf=5.36) (+9 more) | captured 32 GO / 15 Reactome / 15 OT
NLRP3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of type 2 immune response (idf=6.61); go:negative regulation of acute inflammatory response (idf=6.20); go:positive regulation of T-helper 2 cell cytokine production (idf=5.92) (+13 more) | captured 56 GO / 6 Reactome / 7 OT
NOS2,microglia_immune,primary=microglia_immune IDF-derived (score=5.92); go:innate immune response in mucosa (idf=5.92); go:regulation of cytokine production involved in inflammatory response (idf=5.69); reactome:ROS and RNS production in phagocytes (idf=5.51) (+8 more) | captured 45 GO / 5 Reactome / 5 OT
NR1D1,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:negative regulation of microglial cell activation (idf=6.20); go:negative regulation of neuroinflammatory response (idf=5.69); go:negative regulation of toll-like receptor 4 signaling pathway (idf=5.51) (+2 more) | captured 57 GO / 7 Reactome / 9 OT
NR4A3,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:positive regulation of mast cell cytokine production (idf=6.61); go:common myeloid progenitor cell proliferation (idf=6.61); go:negative regulation of inflammatory response (idf=3.97) | captured 52 GO / 2 Reactome / 2 OT
ORAI1,microglia_immune,primary=microglia_immune IDF-derived (score=5.22); open_targets:Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (idf=5.22); open_targets:Immune System (idf=1.65) | captured 0 GO / 0 Reactome / 3 OT
PAF1,microglia_immune,primary=microglia_immune IDF-derived (score=6.20); go:negative regulation of myeloid cell differentiation (idf=6.20); reactome:Dengue virus activates/modulates innate and adaptive immune responses (idf=5.69); open_targets:Dengue virus activates/modulates innate and adaptive immune responses (idf=5.69) (+1 more) | captured 19 GO / 7 Reactome / 6 OT
PDCD6IP,microglia_immune,primary=microglia_immune IDF-derived (score=5.00); go:mitotic cytokinesis (idf=5.00); go:immunological synapse (idf=5.00) | captured 39 GO / 5 Reactome / 5 OT
PDE4B,microglia_immune,primary=microglia_immune IDF-derived (score=5.22); go:positive regulation of interleukin-2 production (idf=5.22) | captured 29 GO / 1 Reactome / 1 OT
PIK3CB,microglia_immune,"primary=microglia_immune IDF-derived (score=6.61); go:leukocyte mediated immunity (idf=6.61); reactome:Interleukin-3, Interleukin-5 and GM-CSF signaling (idf=5.92); open_targets:Interleukin-3, Interleukin-5 and GM-CSF signaling (idf=5.92) (+8 more) | captured 46 GO / 32 Reactome / 32 OT"
PIK3R1,microglia_immune,primary=microglia_immune IDF-derived (score=6.61); go:regulation of toll-like receptor 4 signaling pathway (idf=6.61); reactome:Interleukin-7 signaling (idf=6.20); open_targets:Interleukin-7 signaling (idf=6.20) (+16 more) | captured 63 GO / 78 Reactome / 78 OT
PILRA,microglia_immune,primary=microglia_immune IDF-derived (score=4.21); reactome:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell (idf=4.21); open_targets:Immune System (idf=1.65) | captured 6 GO / 1 Reactome / 1 OT
